FileName,Rekognition_words
2020-04-03_16-24-23_UTC_2.jpg.json,"['Nature', 'Car', 'Automobile', 'Transportation', 'Vehicle', 'Outdoors', 'Sports Car']"
2020-04-05_16-48-25_UTC.jpg.json,"['Spoke', 'Machine', 'Alloy Wheel', 'Wheel', 'Tire', 'Car', 'Vehicle', 'Transportation', 'Car Wheel', 'Sports Car']"
2020-04-10_16-34-07_UTC.jpg.json,"['Person', 'Human']"
2020-04-12_16-35-10_UTC.jpg.json,"['Car', 'Automobile', 'Transportation', 'Vehicle', 'Sports Car', 'Race Car', 'Tarmac', 'Asphalt']"
2020-04-17_16-27-16_UTC.jpg.json,"['Car', 'Automobile', 'Transportation', 'Vehicle']"
2020-04-19_16-25-06_UTC.jpg.json,"['Tarmac', 'Asphalt', 'Road', 'Car', 'Automobile', 'Vehicle', 'Transportation', 'Sports Car']"
2020-04-26_16-24-59_UTC_1.jpg.json,"['Clothing', 'Apparel', 'Helmet', 'Crash Helmet']"
2020-04-26_16-24-59_UTC_2.jpg.json,"['Clothing', 'Apparel', 'Helmet', 'Crash Helmet']"
2020-04-26_16-24-59_UTC_3.jpg.json,"['Clothing', 'Apparel', 'Crash Helmet', 'Helmet', 'Person', 'Human']"
2020-04-26_16-24-59_UTC_4.jpg.json,"['Clothing', 'Apparel', 'Helmet', 'Crash Helmet']"
2020-04-26_16-24-59_UTC_5.jpg.json,"['Clothing', 'Apparel', 'Helmet', 'Crash Helmet']"
2020-04-30_16-27-47_UTC_1.jpg.json,"['Tire', 'Alloy Wheel', 'Spoke', 'Wheel', 'Machine', 'Car', 'Transportation', 'Vehicle', 'Car Wheel', 'Sports Car']"
2020-04-30_16-27-47_UTC_2.jpg.json,"['Car', 'Transportation', 'Vehicle', 'Tire', 'Wheel', 'Machine', 'Spoke', 'Car Wheel', 'Alloy Wheel', 'Sports Car']"
2020-04-30_16-27-47_UTC_3.jpg.json,"['Car', 'Tire', 'Wheel', 'Machine', 'Spoke', 'Sports Car', 'Car Wheel', 'Alloy Wheel', 'Coupe', 'Race Car']"
2020-04-30_16-27-47_UTC_4.jpg.json,"['Wheel', 'Machine', 'Spoke', 'Alloy Wheel', 'Tire', 'Car', 'Automobile', 'Vehicle', 'Transportation', 'Car Wheel']"
2020-04-30_16-27-47_UTC_5.jpg.json,"['Car', 'Transportation', 'Vehicle', 'Automobile', 'Tire', 'Wheel', 'Machine', 'Car Wheel', 'Alloy Wheel', 'Spoke']"
2020-04-30_16-27-47_UTC_6.jpg.json,"['Car', 'Vehicle', 'Transportation', 'Sports Car', 'Race Car', 'Wheel', 'Tire', 'Spoke', 'Tarmac', 'Coupe']"
2020-04-30_16-27-47_UTC_7.jpg.json,"['Car', 'Wheel', 'Machine', 'Tire', 'Car Wheel', 'Spoke', 'Sports Car', 'Alloy Wheel', 'Coupe', 'Race Car']"
